id,username,followers, following, location
1491373502,NathaliaRotela,646,937,
264871708,Escandriolo,486,361,Cnel. Oviedo - Paraguay
164849153,geraldinearaa,635,380,
1245937514,evelyngodoy45,153,193,
96262636,guadamorinigo,1977,707,Coronel Oviedo, Paraguay
1406278662,michitavillalba,548,534,
398398925,ThaisMarecos,1339,1104,Asunción - Paraguay
387319800,andrearrellaga,868,789,
492512108,fatimabelen64,512,599,
1418069526,jessi_duarte09,722,484,Coronel Oviedo-Parag
766315220,AraRodriguez97,987,1020,Coronel Oviedo 
883118004,glo_acevedo,426,383,Paraguay
229647115,solescobarflo,1168,637,Coronel Oviedo, Paraguay
1037776562,CarlitosMelga13,728,510,
249207050,Lopestigarribia,267,277,
161521074,kristelkarenina,530,1731,.
437858536,camila_dsb,3288,2151,
707947274,liizacosta11,1256,548,La ciudad de la furia - Py.
392897101,gloriaborja_,1638,1292,
310338994,Gusti_tweet,830,663,paraguay
343083691,MRamoa,1391,709,Coronel Oviedo, Paraguay
177798947,RodolDure,216,220,
515790379,VeraAlcarazz,1182,1182,San Salvador, Guairá - Py
353363442,milortizo,1452,1004,Paraguay
71650853,PablitoGodoy,304,356,
588655117,JessDahiana,829,1167,Caaguazu-Paraguay
617490171,lulu_gime,1035,1963,Encarnación - Asu
1314966056,JhadiraOrtiz,949,488,
1316821160,Matias_franco95,733,739,
331229557,LENNISMARQUEZ1,573,1846,Venezuela
199063687,ValeM94,597,304,
774363084,helendoldan,112,219,
363670339,chica_cerrista,952,456,Ciudad del este 
928141200,Champagnediscoo,1114,764,Paraguay
244155401,guisheramoa5,1209,856,Paraguay
121467430,PedroDuarteB7,2860,3224,
1282172696,luzcano5,530,534,CORONEL OVIEDO ♡ - PARAGUAY
144602702,RiverosPitu,1379,799,Tuyucua - Paraguay
994169030,mediinagabriela,1040,530,Coronel Oviedo, Paraguay
476193385,krisvillagra,1006,651,paraguay
339874481,estrellabarreto,770,1888,Coronel Oviedo - Paraguay. 
277107788,Santosnucho,241,159,Coronel Oviedo - Paraguay
176164099,gloriaa_benitez,784,546,Paraguay
554981484,yanionieva,1258,2252,Villarrica Paraguay
374613337,jimenaRZ_99,300,351,paraguay
361587699,laureenradio,2632,1126,Coronel Oviedo - Paraguay
840474853,GabyAyala97,681,523,Coronel Oviedo 
317256588,AyelenMedinaG,2437,641,Paraguay
